Arsenal,Mikel Arteta,Stan Kroenke,
Wolves,Bruno Lage,Guo Guangchang,
Aston Villa,Dean Smith,Nassef Sawiris,
West Ham,David Moyes,David Sullivan,
Brentford,Sean Dyche,Matthew Benham,
Watford,Xisco Munoz,Gino Pozzo,
Brighton,Graham Potter,Tony Bloom,
Tottenham,Nuno Espirito Santo,Joe Lewis,
Burnley,Joe Montemurro,Alan Pace,
Southampton,Ralph Hasenhuttl,Gao Jisheng,
Chelsea,Thomas Tuchel,Roman Abramovich,
Norwich City,Daniel Farke,Delia Smith,
Crystal Palace,Patrick Vieira,Joshua Harris,
Newcastle United,Steve Bruce,Mike Ashley,
Everton,Rafael Benitez,Farhad Moshiri,
Manchester United,Ole Gunnar Solskjaer,Joel Glazer,
Leeds United,Marcelo Bielsa,Andrea Radrizzani,
Manchester City,Pep Guardiola,Sheikh Mansour,
Leicester City,Brendan Rodgers,Aiyawatt Srivaddhanaprabha,
Liverpool,Jurgen Klopp,John W Henry,





